Печатник глубокой печати
Солодовщик
Заведующий горными работами
Вышивальщица
Инженер-программист
Руководитель секретариата аудитора Счетной палаты Российской Федерации
Главный агроном (государственный инспектор по карантину растений)
Машинист (кочегар) котельной
Машинист автомата по изготовлению обрезных обложек
Главный геохимик
Контролер материалов, изделий и лекал
Сушильщик элементного производства
Спекальщик кювет
Строгаль кожевенно-мехового сырья и полуфабрикатов
Лепщик электрокерамических изделий
Слесарь - механик по радиоэлектронной аппаратуре
Приготовитель уплотняющих растворов и паст
Сборщик ртутно-цинковых, магниевых и других источников тока
Заправщик рулонов картона и бумаги
Изготовитель карамели
Формовщик огнеупорных изделий
Заготовщик льда
Контролер качества обработки изделий
Главный редактор карт и лоций
Инженер по креплению
Медицинский дезинфектор
Машинист гранулятора
Заведующий камерой хранения (ручного багажа)
Заместитель Председателя Верховного Суда Российской Федерации
Хранитель экспонатов
Гравер оригиналов топографических карт
Ответственный редактор
Социальный работник
Фотооператор
Член президиума регионального отделения
Отбельщик агарового студня
Референт на основной деятельности
Перезарядчик установки декристаллизации каучука
Слесарь по ремонту гидротурбинного оборудования
Аппаратчик улавливания жиров
Оператор акустических испытаний
Машинист расфасовочно-упаковочных машин
Укладчик текста
Обработчик стеклоблоков
Начальник электроподстанции
Правщик технологической оснастки
Аппаратчик приготовления сернокислого глинозема
Электромонтер главного щита управления электростанции
Хлораторщик
Машинист отжимного оборудования (кожевенное и кожсырьевое производство)
Обходчик водопроводно-канализационной сети
Автоклавщик - сушильщик аккумуляторных пластин в производстве свинцовых аккумуляторов
Ревизор - инструктор по контролю пассажирских поездов
Укладчик синели
Аппаратчик приготовления сырой смеси
Заведующий лабораторией (научно-исследовательской)
Электрогазосварщик-врезчик
Аппаратчик производства гематогена и медицинской желчи
Техник по контрольно-измерительным приборам и автоматике
Модельщик архитектурных деталей
Ведущий специалист в Администрации Президента Российской Федерации
Начальник сортировочной горки (автоматизированной, механизированной)
Председатель комитета (комиссии)
Начальник лаборатории (в торговле)
Сборщик кварцевых держателей
Оператор гладильно-сушильного агрегата
Холодильщик резиновых смесей
Машинист клеевого агрегата
Аппаратчик промывки
Начальник патентно-лицензионного отдела
Мойщик мездры и волоса
Аппаратчик обработки
Приемщик солодкового корня
Мастер по благоустройству территорий аэропорта
Инструктор по организационно-массовой работе
Гравер шрифта
Монтажник компрессоров, насосов и вентиляторов
Специалист Сбербанка
Шлифовщик бумаги, картона и фибры
Консервировщик оборудования и металлоизделий
Аппаратчик выпаривания и гранулирования
Аппаратчик получения фтористых соединений редких и редкоземельных элементов
Контролер производства изотопов
Вальцовщик косметической массы
Подготовщик основы для мультипликационных рисунков
Контролер в производстве лития
Оператор сортировочной горки
Арматурщик железобетонных судов
Приготовитель шампанского
Увлажнительщик бумаги и картона
Сортировщик деталей подшипников
Разметчик хлыстов
Монтажник элементов памяти на ферритах
Аппаратчик изготовления микросфер
Сборщик термосов
Производитель работ (прораб) (в строительстве)
Директор зоопарка
Председатель производственного объединения
Наборщик на машинах
Дежурный станционного поста телеуправления
Перекристаллизаторщик
Машинист грузового причала
Формировщик трикотажных изделий
Сортировщик материалов и изделий из древесины
Составитель вагонных партий табака
Брошюровщик
Аппаратчик производства заквасок
Первый заместитель Председателя Высшего Арбитражного Суда Российской Федерации
Сборщик игрушек
Консультант
Аппаратчик приготовления ферментного препарата
Окантовщик киноэкранов
Ответственный секретарь суда
Раздатчик нефтепродуктов
Расфасовщик мясопродуктов
Заведующий отделом (в торговле)
Мотальщик
Прессовщик ровничной машины
Изготовитель художественных изделий из керамики
Оператор шлихтовального оборудования
Оператор бюро по учету перехода вагонов
Прессовщик твердых сплавов
Начальник летно-методического кабинета
Сортировщик (упаковщик) теплоизоляционных изделий
Прессовщик колес и бандажей
Помощник (советник) Председателя Счетной палаты Российской Федерации
Машинист протирочных машин
Контролер - ревизор пассажирских поездов
Провизор-интерн (средней квалификации)
Первый заместитель Руководителя Аппарата Совета Федерации Федерального Собрания
Бригадир подготовительного отделения
Оператор в производстве кисломолочных и детских молочных продуктов
Техник-гидролог
Машинист промывочных машин
Начальник отдела (на транспорте, в связи, материально-техническом снабжении и сбыте)
Слесарь-испытатель
Заливщик голосовых планок
Машинист шпулезаверточных и конусных машин
Клейщик бумаги, картона и изделий из них
Сигнальщик боновый
Зоотехник отделения (комплекса, сельскохозяйственного участка, фермы)
Заместитель руководителя федерального органа исполнительной власти (кроме федерального министерства)
Сборщик фарфоровых и фаянсовых изделий
Заварщик пасты
Машинист брикетного пресса
Печник
Плетельщик мебели
Ламповщик
Сварщик на диффузионно-сварочных установках
Формовщик по выплавляемым моделям
Кабестанщик
Оператор красочной станции
Спекальщик шихты
Оператор поста управления стана горячего проката труб
Пилот-инструктор
Заместитель начальника управления Администрации Президента Российской Федерации
Аппаратчик контактной выпарки
Заместитель председателя комитета (комиссии) Совета Федерации Федерального Собрания
Шлифовщик камней
Аппаратчик ацилирования
Старший судебный пристав
Гильошир
Модельер-конструктор
Главный инженер проекта
Начальник поста (на транспорте)
Аппаратчик силиконирования
Резчик по камню
Забойщик
Машинист конвертной машины
Генеральный директор киностудии
Машинист пергаментной машины
Лакоразводчик
Инженер по подготовке кадров
Мастер по промысловой геофизике
Лаборант минералогического анализа
Помощник механика
Аппаратчик приготовления инвертного сиропа
Механик по обслуживанию съемочной техники
Обработчик виноматериалов и вина
Начальник (директор) арсенала
Прессовщик изделий строительной керамики
Изготовитель зубочисток
Начальник базы (на транспорте, в связи, материально-техническом снабжении и сбыте)
Оператор распределения пряжи
Машинист чаескручивающих машин
Загрузчик балансов в дефибреры
Юстировщик
Секретарь-стенографистка
Археограф
Аппаратчик производства мездрового клея
Аппаратчик производства изотопов
Модельер колодок
Автоклавщик
Замерщик дебитов скважин
Модельер ортопедической обуви
Монтажник связи - линейщик
Формовщик камнелитейного производства
Индикаторщик
Водитель троллейбуса
Инструктор крановых бригад
Слесарь - механик электромеханических приборов и систем
Инженер по специальным применениям авиации
Инженер по звукозаписи
Слесарь - механик по испытанию установок и аппаратуры
Машинист маркировочной машины для разметки автомобильных дорог
Резчик магнитных лент
Секретарь комитета (общественной организации)
Консультант издательства, редакции газет и журналов
Приготовитель питательных растворов
Чеканщик скульптурного производства
Оператор водомаслостанции
Техник по комплектации спецпродукции
Аппаратчик газоразделительного производства
Обработчик волокна и ткани
Изготовитель асбометаллических изделий
Директор учреждения социального обслуживания (центра социального обслуживания (пожилых и инвалидов), центра социальной помощи семье и детям, социально-реабилитационного центра для несовершеннолетних, социального приюта для детей и подростков и др.)
Зубофрезеровщик деталей часов
Горновой шахтной печи
Художник росписи по дереву
Генеральный директор производственного объединения
Машинист клеильно-загибочной машины
Электромонтажник-наладчик
Подборщик - учетчик абразивных изделий
Диспетчер автомобильного транспорта
Нагревальщик (сварщик) металла
Дежурный по комнате отдыха (водителей автомобилей, пассажиров с детьми)
Руководитель Секретариата Заместителя Председателя Правительства Российской Федерации
Оператор получения непрерывного стекловолокна
Механик по судовым системам
Оператор на отстойниках
Токарь-карусельщик
Шевинговальщик
Оператор автоматической регулирующей станции температуры
Аппаратчик получения закиси азота
Слесарь зумпфового агрегата
Начальник агентства (рекламно-информационного, транспортно-экспедиционного и др.)
Артист - солист-инструменталист
Формовщик теплоизоляционных изделий
Приемщик сырья, полуфабрикатов и готовой продукции
Лаборант-теплофизик
Слесарь по ремонту реакторно-турбинного оборудования
Главный специалист по монтажу и наладке систем автоматизации
Экономист по планированию
Руководитель главного бюро медико-социальной экспертизы
Наладчик оборудования жестяно-баночного производства
Заведующий отделом (материально-технического снабжения)
Техник по эксплуатации тренажеров
Медицинский психолог
Очесывальщик барабанов
Аппаратчик получения окислов металлов
Начальник компрессорной станции
Начальник отдела в составе управления в аппарате Конституционного Суда Российской Федерации
Агент по розыску грузов и багажа
Исполнитель художественно-оформительских работ
Загрузчик - выгрузчик абразивных изделий в периодические обжигательные печи
Машинист фрезерно-зачистной машины
Аппаратчик газоразделения
Инженер - механик линейный по флоту
Обходчик линейный
Преподаватель-стажер (в системе дошкольного воспитания и обучения)
Оператор экспериментальных стендов и установок
Заместитель руководителя Секретариата Председателя Совета Федерации Федерального Собрания
Склейщик блоков, заготовок и строительных конструкций
Автоклавщик литья под давлением
Пропитчик
Специалист по реабилитации инвалидов
Электромеханик (судовой)
Моторист самостоятельного управления судовым двигателем
Обезвоживатель шлифзерна и шлифпорошков
Главный гидролог
Помощник воспитателя
Провизор-аналитик
Главный горняк
Начальник самостоятельного научно-исследовательского отдела (лаборатории, бюро, группы) по комплексной защите информации
Сортировщик отливок
Машинист машины для ломки футеровки конвертеров и ковшей
Опрессовщик кабелей свинцом или алюминием
Оператор магнитной записи
Начальник лесничества
Оформитель готовой продукции
